epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.67246,2.31517,4.84269,2.34793,0.00056,0.5,0.00085,0.00017,2.03928,5.787,2.53293,1.667e-05,1.667e-05,1.667e-05
2,4.61881,2.60616,5.43558,2.46957,0.00056,0.5,0.00084,0.00017,2.00196,5.86514,2.51548,4.91848e-05,4.91848e-05,4.91848e-05
3,5.4222,2.57828,4.84036,2.501,0.00056,0.5,0.00078,0.00016,1.98609,5.91389,2.49767,8.05995e-05,8.05995e-05,8.05995e-05
4,6.21198,2.62808,5.29582,2.51465,0.00056,0.5,0.0008,0.00016,1.98418,5.95293,2.47802,0.000110914,0.000110914,0.000110914
5,7.1448,2.40884,4.38669,2.32246,0.0722,0.2,0.07784,0.03278,2.04506,5.08363,2.40407,0.000140128,0.000140128,0.000140128
6,8.25855,2.07039,3.57998,2.12996,0.6207,0.2,0.12352,0.0445,2.53141,7.11574,2.44691,0.000168242,0.000168242,0.000168242
7,9.34686,2.05763,3.74301,2.04047,0.53139,0.1,0.03222,0.00618,3.06657,6.47512,3.05195,0.000195256,0.000195256,0.000195256
8,10.3249,1.85055,2.95914,1.87705,0.67162,0.1,0.12108,0.01379,3.2568,6.8433,3.16936,0.000221169,0.000221169,0.000221169
9,11.2697,1.91515,3.07106,1.91813,0.63805,0.1,0.08839,0.02437,3.01402,6.32902,2.97246,0.000245983,0.000245983,0.000245983
10,12.3712,1.79623,2.65372,1.83307,0.57116,0.2,0.08716,0.02783,2.59309,5.96554,2.33622,0.000269696,0.000269696,0.000269696
11,13.8776,1.8033,2.57576,1.81977,0.55453,0.3,0.06065,0.0295,2.2023,5.06994,2.03627,0.000292308,0.000292308,0.000292308
12,15.2505,1.76957,2.33651,1.76078,0.25604,0.2,0.23812,0.13131,1.79876,4.8067,1.88709,0.000313821,0.000313821,0.000313821
13,16.328,1.70865,2.34141,1.76953,0.61377,0.2,0.11984,0.06189,1.84376,5.46651,1.9244,0.000334234,0.000334234,0.000334234
14,17.2796,1.69049,2.22942,1.75652,0.55426,0.2,0.07748,0.03955,1.57166,4.97127,1.76281,0.000353546,0.000353546,0.000353546
15,18.242,1.69068,2.11393,1.75248,0.74871,0.19845,0.16723,0.05092,1.81181,3.99729,1.97535,0.000371758,0.000371758,0.000371758
16,19.2046,1.58897,1.90628,1.67179,0.13523,0.2,0.16765,0.05587,1.82495,3.935,2.02173,0.000388869,0.000388869,0.000388869
17,20.151,1.61127,1.90871,1.66137,0.17769,0.3,0.16468,0.0568,2.00947,4.05451,2.08278,0.000404881,0.000404881,0.000404881
18,21.1221,1.59364,1.809,1.64018,0.07025,0.2,0.08276,0.02465,2.24658,4.05932,2.27535,0.000419792,0.000419792,0.000419792
19,22.0235,1.53176,1.81801,1.56069,0.18481,0.6,0.23953,0.03412,2.851,5.043,2.7445,0.000433603,0.000433603,0.000433603
20,22.9745,1.41234,1.6928,1.5292,0.19132,0.6226,0.25221,0.05101,2.77496,5.90949,2.7144,0.000446314,0.000446314,0.000446314
21,23.9901,1.6807,1.79189,1.65054,0.61607,0.1,0.0889,0.03048,2.07853,5.40327,2.3564,0.000457925,0.000457925,0.000457925
22,24.9467,1.68913,1.8019,1.65223,0.60944,0.3,0.0828,0.03193,2.47475,3.90962,2.69334,0.000468435,0.000468435,0.000468435
23,26.3698,1.54361,1.77007,1.58203,0.70305,0.1,0.09538,0.03143,2.90357,3.98314,2.96673,0.000477846,0.000477846,0.000477846
24,27.7592,1.61964,1.82761,1.6494,0.71302,0.1,0.0598,0.02822,3.00566,4.53969,3.3228,0.000486156,0.000486156,0.000486156
25,28.699,1.64823,1.84846,1.75176,0.60353,0.3,0.1063,0.03683,2.52216,4.15971,2.84258,0.000493365,0.000493365,0.000493365
26,29.6413,1.60234,1.60861,1.61969,0.6946,0.4,0.18051,0.07458,1.98516,3.37644,2.33615,0.000499475,0.000499475,0.000499475
27,30.592,1.60376,1.74209,1.63478,0.78958,0.3,0.21898,0.09655,2.02549,2.99712,2.31647,0.000504484,0.000504484,0.000504484
28,31.5154,1.60502,1.64352,1.6162,0.78958,0.3,0.21898,0.09655,2.02549,2.99712,2.31647,0.000508393,0.000508393,0.000508393
29,32.4814,1.71486,1.63896,1.71296,0.78381,0.4,0.32121,0.18252,2.01965,4.00406,2.49922,0.000511202,0.000511202,0.000511202
30,33.5437,1.44394,1.4761,1.42537,0.68221,0.3,0.21068,0.14514,2.15617,5.12184,2.5906,0.000512911,0.000512911,0.000512911
31,34.4636,1.47861,1.47443,1.50154,0.68221,0.3,0.21068,0.14514,2.15617,5.12184,2.5906,0.000513519,0.000513519,0.000513519
32,35.4239,1.31739,1.37608,1.44918,0.68572,0.29601,0.13949,0.07998,2.33082,4.22288,2.59013,0.000513028,0.000513028,0.000513028
33,36.4016,1.34848,1.40832,1.46402,0.64541,0.2,0.11159,0.05838,1.95062,3.39855,2.31817,0.000511436,0.000511436,0.000511436
34,37.3431,1.22939,1.35212,1.42443,0.64541,0.2,0.11159,0.05838,1.95062,3.39855,2.31817,0.000508743,0.000508743,0.000508743
